# OurAirports airports.csv, filtered and vendored. Nothing here is typed by hand.
#
# Source     https://davidmegginson.github.io/ourairports-data/airports.csv
# Licence    Public domain (OurAirports releases its data into the public domain)
# Retrieved  2026-09-20
# Filter     iso_country = IN, iata_code non-empty, scheduled_service = yes
# Rows       116
# Columns    kept verbatim from the source, unused source columns dropped
#
# Refreshing this file: re-run the filter above against a fresh download. Do not
# edit rows in place. A correction belongs upstream in OurAirports, so the next
# refresh does not silently undo it.
#
# Lines beginning with # are skipped by the loader. Everything after is RFC 4180.
"ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","wikipedia_link"
"VICX","medium_airport","Kanpur Airport","26.404301","80.410103","410","AS","IN","IN-UP","Kanpur","yes","VECX","KNU","https://en.wikipedia.org/wiki/Kanpur_Airport"
"VIKG","medium_airport","Kishangarh Airport Ajmer","26.591007","74.812956","","AS","IN","IN-RJ","Ajmer (Kishangarh)","yes","VIKG","KQH","https://en.wikipedia.org/wiki/Kishangarh_Airport"
"VIBR","medium_airport","Kullu Manali Airport","31.876699","77.154404","3573","AS","IN","IN-HP","Bhuntar","yes","VIBR","KUU","https://en.wikipedia.org/wiki/Kullu%E2%80%93Manali_Airport"
"VILK","large_airport","Chaudhary Charan Singh International Airport","26.760599","80.889297","410","AS","IN","IN-UP","Lucknow","yes","VILK","LKO","https://en.wikipedia.org/wiki/Amausi_Airport"
"VALT","medium_airport","Murod Kond Airport","18.411501","76.464699","2136","AS","IN","IN-MM","Latur","yes","VALT","LTU","https://en.wikipedia.org/wiki/Latur_Airport"
"VOMM","large_airport","Chennai International Airport","12.990005","80.169296","52","AS","IN","IN-TN","Chennai","yes","VOMM","MAA","https://en.wikipedia.org/wiki/Chennai_International_Airport"
"VOMY","medium_airport","Mysore Airport","12.229751","76.653683","2349","AS","IN","IN-KA","Mysore","yes","VOMY","MYQ","https://en.wikipedia.org/wiki/Mysore_Airport"
"VIMB","medium_airport","Moradabad Airport","28.81746","78.92187","637","AS","IN","IN-UP","Moradabad","yes","VIMB","MZS","https://en.wikipedia.org/wiki/Moradabad_Airport"
"VANP","large_airport","Dr. Babasaheb Ambedkar International Airport","21.092199","79.047203","1033","AS","IN","IN-MM","Nagpur","yes","VANP","NAG","https://en.wikipedia.org/wiki/Dr._Babasaheb_Ambedkar_International_Airport"
"VAND","medium_airport","Nanded Airport","19.1833","77.316704","1250","AS","IN","IN-MM","Nanded","yes","VAND","NDC","https://en.wikipedia.org/wiki/Nanded_Airport"
